estimateactive,loweractive5,upperactive95,estimateinactive,lowerinactive5,upperinactive95,estimate2xmonth,lower2xmonth5,upper2xmoonth95
0.76,0.74,0.79,0.15,0.09,0.19,0.89,0.87,0.9
0.5,0.47,0.53,0.35,0.31,0.38,0.69,0.66,0.71
0.56,0.53,0.58,0.29,0.24,0.33,0.74,0.71,0.76
0.54,0.51,0.56,0.32,0.28,0.36,0.7,0.68,0.72
0.51,0.48,0.53,0.34,0.3,0.38,0.68,0.65,0.7
0.48,0.46,0.51,0.38,0.34,0.41,0.64,0.62,0.66
0.5,0.48,0.53,0.37,0.33,0.4,0.65,0.63,0.67
0.54,0.51,0.56,0.32,0.28,0.36,0.7,0.67,0.72
0.51,0.48,0.54,0.34,0.3,0.38,0.67,0.64,0.69
0.52,0.49,0.54,0.35,0.31,0.38,0.67,0.65,0.69
0.57,0.54,0.59,0.3,0.26,0.34,0.73,0.71,0.75
0.51,0.48,0.54,0.34,0.3,0.37,0.68,0.66,0.7
0.52,0.49,0.55,0.35,0.32,0.39,0.68,0.66,0.7
0.5,0.47,0.53,0.37,0.33,0.4,0.66,0.64,0.68
0.56,0.52,0.6,0.3,0.25,0.35,0.69,0.65,0.73
0.55,0.51,0.58,0.31,0.26,0.35,0.7,0.67,0.73
0.54,0.5,0.58,0.32,0.28,0.36,0.7,0.67,0.73
0.54,0.5,0.58,0.32,0.28,0.36,0.71,0.67,0.74
0.54,0.5,0.58,0.31,0.27,0.36,0.71,0.67,0.74
0.49,0.46,0.53,0.37,0.33,0.4,0.67,0.65,0.7
0.54,0.5,0.58,0.32,0.27,0.36,0.68,0.65,0.71
0.55,0.52,0.58,0.31,0.27,0.35,0.69,0.66,0.72
0.69,0.66,0.72,0.17,0.11,0.22,0.87,0.85,0.89
0.66,0.62,0.69,0.18,0.13,0.23,0.84,0.82,0.86
0.66,0.62,0.69,0.19,0.14,0.23,0.83,0.8,0.85
0.56,0.53,0.59,0.26,0.21,0.31,0.77,0.74,0.79
0.64,0.6,0.67,0.2,0.15,0.25,0.82,0.8,0.84
0.64,0.6,0.68,0.21,0.16,0.26,0.8,0.77,0.83
0.59,0.55,0.64,0.24,0.19,0.29,0.8,0.77,0.83
0.63,0.6,0.67,0.22,0.17,0.26,0.82,0.8,0.84
0.65,0.61,0.68,0.21,0.16,0.25,0.81,0.79,0.83
0.6,0.57,0.63,0.24,0.19,0.28,0.78,0.76,0.8
0.65,0.62,0.68,0.21,0.16,0.25,0.83,0.81,0.85
0.64,0.61,0.67,0.2,0.15,0.25,0.83,0.81,0.84
0.57,0.53,0.6,0.27,0.22,0.31,0.76,0.74,0.78
0.56,0.53,0.59,0.26,0.21,0.3,0.78,0.75,0.8
0.67,0.64,0.7,0.19,0.14,0.24,0.82,0.8,0.84
0.62,0.59,0.65,0.2,0.15,0.25,0.82,0.8,0.84
0.58,0.55,0.6,0.24,0.19,0.28,0.78,0.76,0.8
0.59,0.56,0.62,0.25,0.2,0.3,0.78,0.76,0.8
0.66,0.63,0.7,0.19,0.14,0.24,0.83,0.81,0.86
